Ref,Val,Package,PosX,PosY,Rot,Side
"C1","220u","CP_Radial_D5.0mm_P2.00mm",103.544888,-31.165000,0.000000,top
"C2","22u","CP_Radial_D5.0mm_P2.00mm",123.000000,-31.665000,0.000000,top
"C3","100n","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",101.062500,-69.170000,180.000000,top
"C4","1u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",85.000000,-52.000000,0.000000,top
"C5","10u","C_1206_3216Metric_Pad1.33x1.80mm_HandSolder",101.062500,-72.170000,180.000000,top
"D1","11DQ06","D_DO-41_SOD81_P12.70mm_Horizontal",107.650000,-42.000000,0.000000,top
"D2","LED","LED_D5.0mm",164.000000,-42.125000,-90.000000,top
"D3","LED","LED_D5.0mm",156.530000,-42.125000,-90.000000,top
"D4","LED","LED_D5.0mm",149.060000,-42.125000,-90.000000,top
"D5","LED","LED_D5.0mm",141.590000,-42.125000,-90.000000,top
"J1","Screw_Terminal_01x02","TerminalBlock_MetzConnect_Type011_RT05502HBLC_1x02_P5.00mm_Horizontal",96.117500,-47.500000,90.000000,top
"L1","330u","L_Radial_D7.2mm_P3.00mm_Murata_1700",128.000000,-43.665000,90.000000,top
"R1","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",86.920000,-65.000000,0.000000,top
"R2","47k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",86.920000,-61.000000,0.000000,top
"R3","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",120.500000,-75.500000,180.000000,top
"R4","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",84.500000,-56.500000,0.000000,top
"R5","4K7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",164.000000,-35.450000,90.000000,top
"R6","4K7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",156.560000,-35.450000,90.000000,top
"R7","4K7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",149.060000,-35.450000,90.000000,top
"R8","4K7","R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal",141.560000,-35.450000,90.000000,top
"R9","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",100.937500,-75.500000,0.000000,top
"R10","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",129.000000,-78.550000,90.000000,top
"R11","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",132.000000,-78.450000,90.000000,top
"R12","10k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",138.000000,-78.550000,90.000000,top
"R13","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",135.000000,-78.550000,90.000000,top
"R14","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",154.740000,-57.690000,0.000000,top
"R15","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",154.740000,-60.190000,0.000000,top
"R16","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",154.740000,-62.690000,0.000000,top
"R17","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",154.740000,-65.690000,0.000000,top
"R18","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",154.740000,-68.190000,0.000000,top
"R19","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",154.640000,-52.690000,0.000000,top
"R20","2k","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",154.740000,-55.190000,0.000000,top
"SW1","SW_Push","SW_PUSH_6mm_H4.3mm",73.750000,-51.750000,0.000000,top
"SW2","SW_Wuerth_450301014042","SW_Slide-03_Wuerth-WS-SLTV_10x2.5x6.4_P2.54mm",101.040000,-53.000000,180.000000,top
"U1","LM2574N-5","DIP-8_W7.62mm",111.190000,-38.470000,90.000000,top
"U2","NE555P","DIP-8_W7.62mm",103.305000,-65.310000,180.000000,top
"U3","SN74LVC1G11","SW_Slide_SPDT_Straight_CK_OS102011MS2Q",108.500000,-63.500000,90.000000,top
"U4","4027","DIP-16_W7.62mm_Socket_LongPads",116.190000,-51.110000,0.000000,top
"U5","4027","DIP-16_W7.62mm_Socket_LongPads",129.190000,-51.110000,0.000000,top
"U6","74LS47","DIP-16_W7.62mm_Socket_LongPads",142.000000,-51.460000,0.000000,top
"U7","FYS-3911BUHR-21","HDSP-7401",165.532500,-54.982500,0.000000,top
